ID,query,size,depers,mark_legal_value
391309,"Работодатель зачислил зарплату с задержкой и в меньшей сумме.
Как поступить в такой ситуации? Как себя обезопасить в случае невыплату соответствующей ЗП?",s,False,4
375826,"Жена в роддоме к ней врач подошел, сказал придут проверять соц работники, она будет рожать через 2 месяца.
На каком основании придет соц работник проверять жилищные условия ?",s,False,4
396987,"Добрый день, просьба подготовить Положение, которое регулирует порядок обработки и защиты персональных данных в нашей компании. Ответственным за организацию обработки персональных данных будет Операционный директор.
Заранее благодарен",m,False,4
393007,"Трудовое права, был в отпуске, в понедельник перед фактом мне сказали что со мной хотят расторгнуть договор. Сейчас со мной ни кто не взаимодействует, ген. директор отстранен, а человек которые его обязанности исполняет юридически ни где не числится.",m,False,4
373779,"Нахожусь в Калининграде, есть земельный участок тут же в Калининграде, хочу продать его физическому лицу как индивидуальный предприниматель, сделка нотариально, соответствующий вид деятельности имею, столкнулся с тем что нотариус ни разу не проводила продажу собственного имущества индивидуального предпринимателя, и как-то говорит Не знаю нельзя. Я чётко знаю что я как индивидуальный предприниматель могу распоряжаться своим недвижимым имуществом, такие сделки уже делал, можете подсказать нотариуса в Калининграде для которого не есть проблема заверить договор купли-продажи между индивидуальным предпринимателем и физическим лицом на продажу земельного участка сельхозназначения, все документы в полном порядке разрешение от правительства получил, Согласие всех сторон тоже уже имеются. Город Калининград Помогите пожалуйста.",l,False,4
383042,"Здравствуйте,я иностранных граждан.у меня есть РВП по браке.Завтра я уезжаю в родину,говорят ест новый закон, который, приезжает в Россию надо виза.это меня тоже касается или нет? спасибо за внимание",s,False,3
379930,Можно пожалуйста проверить предварительный договор покупки квартиры с использованием задатка ?,xs,False,4
379122,Налоговый вычет по инвестициям,xs,False,3
379807,Необходимо получить налоговый вычет по медицинским услугам.,xs,False,3
392111,"Здравствуйте, у меня хотят купить автомобиль за кредит, как проверить что это не мошенники ?",xs,False,3
400990,"Можно ли перевести плату алиментов из 25 процентов от 3п, в фиксированную сумму?",xs,False,4
403008,"Прожили 50 лет с мужем, хотим подать на выплаты. Можно уже сейчас или нужно ждать ровно до даты и после 9 числа подавать?",s,False,3
407173,"Здравствуйте! 
Проконсультируйте пожалуйста, кому направить обращение или претензию? 
Ситуация, следующая: При установке сооружения остановки, общественного транспорта, сгребли и оставили гору песка, перед воротами земельного участка (в частн.собст). В какие службы обращаться? 
Спасибо! 
С Уважением, *** .",m,False,4
382082,"Здравствуйте! С документами все верно , на миграционной карте не ставят печать , выписывают штраф 5 тыс. Гр Киргизии продлили срок легализации до 10/09/25 года , на основании чего штраф ? Прошу ответить письменно!",m,False,4
398816,Нужно составить договор о предоставлении услуг репетитора по англ. языку.,xs,False,4
379604,Нужна консультация по вопросу компенсации проезда к месту отдыха для работников Крайнего Севера,xs,False,4
395474,"Сложилась следующая ситуация. Мы и наш КА организации, занимающиеся производством и продажей спецодежды. По результатам переговоров не достигли соглашения о сотрудничестве. Им не подошли наши образцы Товара. Но копию сертификата на Товар мы им предоставили. Недавно нам стало известно, что КА использовал наш сертификат при поставке аналогичного Товара в рамках закупок по 44-ФЗ. Фото и документов в доказательство данного факта у нас пока нет. Мы хотели бы получить ответы на вопросы: 1. Какая ответственность существует за использование сертификата? 2. Какие можно предъявить претензии КА? 3. Какими должны быть наши действия?",l,False,5
398410,"Добрый день, хочу уточнить такой вопрос, мою ставку на работе планируют сократить, уведомление вручат за два месяца до сокращения и.е. в августе и крайний рабочий день будет 01.10.25. Я знаю что с 1 сентября будет по новому считаться выходное пособие при увольнении. Хочу понять как лучше поступить попросить по соглашению сторон увольнение или же сокращаться стандартно? Также у меня есть компенсация ипотечной ставки от работодателя, есть доп.соглашение, могут ли мне ее оставить или нет?",m,False,4
410395,"Добрый вечер! Скажите пожалуйста один больничный закрыли, и тут же второй открыли, оплата больничного второго, как то поменяется или нет, будет 100% или меньше ? Стаж на текущем месте работы 15 лет",s,False,4
393733,Можно ли получить налоговый вычет для иностранцев работающих по ГПХ?,xs,False,4
379228,Возврат налога по ИИС,xs,False,3
401995,Уведомление налоговой службы о контролируемой иностранной компании,xs,False,4
389254,Нужен ли паспорт ребенку для вылета (ребенку 9 месяцев),xs,False,4
394880,биометрия гос услуги и смена данных,xs,False,3
408728,"Мною в леманопро был оплачен товар и его доставка накануне отъезда в отпуск. 30.07 товар привезли, но  грузчики сразу мне объявили об отсутствии значимого товара, что переключило мое  внимание на согласование допоставки - времени, даты.. т.к я буду уже отсутствовать. Водитель звонил куда то, после этого дал подписать акт, где я сделала пометку о недостающем товаре. Про необходимость проверить другие товары( зеркало) в такой стрессов ситуации я забыла, а когда машина уехала я решила осмотреть зеркало, лежавшее на мягком. Вскрыв упаковку обнаружила скол угла. Обратилась на горячую линию магазина 30.07 по тел.
 11.08 в ответ был отказ со ссылкой п5.14 правил продажи товаров.
Возвратившись домой я вновь обратилась с вопросом о зеркале 19.08
В ответе ссылаясь на п2 ст.484 ГК РФ мне опять отказались помочь.указав при этом, что акт приёма передачи был подписан без замечаний...
Но я то как раз подписывала акт где мной была указана недопоставка( что было на тот момент существенным)  .",l,False,4
390315,"Вопрос по поверки счетчиков. Если в квартире никто не проживает и никто не прописан, возможно ли получить справку об этом, чтобы не шли начисления. Недвижимости в Курской области, маленький населенный пункт",m,False,4
374712,Необходимо создать декларацию на вычет по растратам и по доходам получаемым на зарубежную карту за 2024г,s,False,4
398788,"Здравствуйте!
Можно ли быть одновременно и самозанятым и ип (нпд)?",xs,False,4
405113,"Нам клиент должен перевести деньги, ему пришел отказ по 115 фз, клиент обвиняет нас",xs,False,4
380143,"Здравствуйте , я планирую купить гараж, гараж находится в ГСК. Земля у собственника в собственности. Какие документы нужны для покупки и выхода на сделку?",s,False,4
374646,Здравствуйти! Можете ли вы помочь с подготовкой налоговой декларации за 2024 год. У меня была продажа долей в компании.,s,False,4
394856,"Вопрос по трудовому договору. Идет увеличение рабочий нагрузки. Начальник не дает отпуск, потому что мало сотрудников.",s,False,3
398837,"Комментарий
Устная консультация по вопросу выбора договора для оказания услуг агентирования для ИП",s,False,3
374667,Добрый вечер! Как правомерно сдать в аренду квартиру как госслужащему? Что для этого потребуется сделать?,s,False,4
400195,Мне необходимо составить исковое заявление по наследственному делу,xs,False,3
396175,В продолжении разговора прикрепляю данные по организации ЦБМ для подготовки заявления на подачу в реестр кредиторов.,s,False,3
406775,"Добрый день! Хотели бы получить консультацию по соблюдению 115-ФЗ. Сложилась ситуация, что ограничили дистанционное обслуживание по банковскому счету. Как это ограничение можно снять?",s,False,4
391975,Налог с продажи квартиры. Оплачена по ДДУ 28.02.2018. Сумма 3250 т.р. В собственности с 23.10.2024. Продал эту  квартиру за 5500 т.р. 16.04.2025. Нужно ли в этом случае платить налог с продажи?,s,False,4
386926,"Планирую купить квартиру в Москве за наличный расчет. Нашел подходящую квартиру. На квартиру имеется обременение - она в залоге в счет кредита. Этот кредит просрочен. ФССП выставил штраф за просрочку в размере 515 т.р. Но владелец квартиры хочет, чтобы на пером этапе сделки, Я погасил штраф за просрочку фссп в счет задатка. Стоит ли идти на такую сделку? 
Скажите какие риски в такой сделке и как мне защититься от возможных рисков?",m,False,4
377487,"Вопрос в продолжении предыдущей консультации. Так я и не понял, при больничном на междувахтовом отдыхе начисляется переработка или нет? Ситуациия, беру 60 дней за свой больничный и 60 дней по уходу за ребенком, работодатель говорит, что так нельзя делать, т.к. у меня из-за этого много часов переработки, прав ли работодатель или переработки нет при нахождении на больничном? 165 часов за вахту в месяц, 11 часов в сутки, 15 дней вахта.",m,False,4
373982,"Добрый вечер. Хотела письменную консультацию. На звонки отвечать не могу. На гражданство хочу подать, но не знаю какие документы собрать и какой порядок действий. Вид на жительство имеется. 67 полных лет. На основании чего могу это сделать? У детей моих есть гражданство. Мужа нет в живых.",m,False,4
403544,"с 1 сентября в СПБ вводятся ограничения на продажу алкоголя после 22.00, в магазинах  и общепите с залом менее 50 кв м ,находящихся в жилых домах.
Вопрос: Данный запрет вводится на весь ассортимент или только алкогольную продукцию на которую требуется лицензия ? А например разливное пиво можно будет продавать на старых
 условиях.",m,False,4
376385,Добрый день если мигрант приехал по статусу переселенца может ли включить программу репатрианта для подачи ВНЖ?!,s,False,4
376566,"Здравствуйте. Подскажите пожалуйста, у нас с супругой ипотека, налоговый вычет на приобретение недвижимости мы уже получили в полном объёме. Супруга является титульным заёмщиком, я созаемщик. В прошлом году мы оформляли вычет по уплаченным процентам на меня, т. К. супруга была в декретном отпуске и у неё не было дохода. В этом году она оформила на себя. Как будут считать вычет? Можно ли мне тоже оформить налоговый вычет и на себя тоже?",m,False,4
373487,"Добрый день! Сын -призывник. Многие рекомендуют оформить доверенность от имени призывника на родителей для представления призывника или военнослужащего в военкомате и других органах. Подскажите, пожалуйста, где можно оформить такую доверенность? И где можно найти актуальную форму?",m,False,4
409143,Здравствуйте!Прошу Вас подготовить налоговую декларацию (по форме 3-ндфл) для получения инвестиционного налогового вычета за 2024г.,s,False,3
400566,"Мне сейчас 62 года, в феврале будет 63, трудовой стаж в сентябре этого года будет 42 года, могу ли уйти на пенсию досрочно?",s,False,4
397028,"Здравствуйте, хочу дать невестке деньги для первого взноса на квартиру, тк там мой внук, как передать эти деньги чтобы они были потрачены по назначению и ребенок получил долю, какая должна быть бумага при передачи денег, чтобы она потом выполнила условия. Спасибо",m,False,4
387149,"Припарковал авто на газоне, пришел штраф 3 раза, хотя машину ставил всего 2, фотографий нет нигде на ресурсах. Хочу обжаловать 1 штраф. Но авто по документам принадлежит не мне.",s,False,4
382979,Хочу сделать налоговый вычет с ивестиции,xs,False,3
388850,"Здравствуйте 
Подскажите пожалуйста, нужна ли доверенность на ребенка , если он поедет с подругой в другой город по России?",s,False,4
378486,"Добрый день . Мне нужно сдать 3ндфл ( продажа 2 квартир , вклады , ценные бумаги ). И понять , как собирать документы для вычетов для будущих деклараций",s,False,4
409064,"В продолжение обращения от 19.08. Если дело было открыто у нотариуса, какое то время по нему работали, но потом отказано было тк некорректный адрес регистрации. Сейчас можно ли пойти восстановить дело у другого нотариуса по корректному адресу? Или если он уже вел дело нужно сначала идти к тому первому",m,False,4
393363,"Наследство. Моя бабушка в завещании которое я видел, написала что 50% на 50% с моим отцом завещает квартиру. Но на данный момент она уже не в здравом уме и находиться в очень плохом состоянии здоровья. Как я могу запросить информацию в завещании через гос. органы и уточнить какое завещание на данный момент действует? С отцом у меня нет контакта, у него другая семья и много лет мы не общаемся. Как я могу повлиять на завещание и сделать официальный запрос и получить копию завещания и при необходимости оспорить его в суде?",l,False,4
382997,Считаются ли выплаты по вкладам моим доходом? Налоговый вычет при покупке недвижимости выплачивается 1 раз в жизни?,s,False,3
377557,"Получала соц. засчиту, а в декабре не поступили выплаты.
Обратилась в орган, там говорят, что была ранее переплата, сказали, что в апреле выплатят. Обратившись в апреле получила в ответ обвинение что организация переплатила в прошлом году. Что делать, как решить вопрос?",m,False,4
386008,"Из-за квартиры отказывают в едином пособии до 17 лет на старшего ребёнка по причине наличия в собственности у ребёнка квартиры полученной в дар от бабушки 10 лет назад.  Квартира была подарена матерью мужа. У неё нет в собственности ни какого жилья. В квартире продолжают проживать бабушка и пробабушка-инвалид. Мы обязаны заботится о своих родителях, то за неимением другой жилой площади, их выгонять ни кто не собирается. Но сейчас эта квартира стала причиной отказа в назначении пособия. По сути, ребёнок лишён государственной поддержки, что является существенные и ощутимым для жизни нежели подаренная квартира. Ещё на рассмотрении вопрос, вероятно и трех младших так же лишат пособия, так как квадратные метры этой квартиры расскидываются на всех членов семьи при расчёте. Можно ли отказаться от дарения спустя 10 лет, признать договор ничтожным? Вернуть дарителю, доказав что полученная в дар кв-ра ухудшается положение одаряемого и снижает уровень жизни? Подарок является бесполезным.",l,False,5
373975,"Проверить авто на риски (залог и пр.)
Провести/подготовить сделку по купле-продаже между юр.лицами",s,False,4
406805,"Было ДТП. Виновник повредил помимо деталей, бронированную плёнку. Ремонт произвёл по каско, но получил отказ. Обратился по осаго, так же получил отказ. Хочу подать в суд на виновника, какие у меня шансы вернуть денежные средства.",m,False,4
399158,Наследство кто имеет права на наследство дочь  и есть ещё внуки все или только дочь,xs,False,3
402270,Добрый день! Пришло 2штрафа с разницей в 10 сек о неправомерном расположении ТС на третьей полосе. Как их оспорить?,s,False,4
378731,"Добрый день. В жилом доме открыт магазин мебель, собственник помещения живёт в нём и сам же одной части торгует. Тнс энерго нн закрыли лицевой счёт физ.лица и заставляют платить по тарифу прочие, за весь объем электроэнергии. Счётчик один установоен Россетями, второй они уже не поставят, и тнс энерго не ставит счётчик в помещение где магазин, а по одному счетчику выставляют счета по тарифу прочие. В доме прописана и проживает 2 человека, даже соц нормой не дают пользоваться, сейчас подали в Арбитражный суд на взыскание задолжности, но договор и документв и расчет приложили всё на физ.лицо, а иск на ип выставили. Что делать? И можно ли это дело выйграть, или бесполезно с ними судиться? Спасибо",l,False,5
382107,"заключила договор брони объекта недвижимости с юридической фирмой, хочет вернуть денежные средства, возможно ли это? готова прислать договор",s,False,4
385449,"Здравствуйте! Мне пришло письмо из налоговой. Там сказано, что для получения налогового вычита в упращëнной порядке мне необходимо подписать и отправить в налоговый орган, заявление о получение налогового вычета в упращëнном порядке. Подскажите пожалуйста как мне это сделать?",m,False,3
394248,"Добрый день! Я увольняюсь по соглашению сторон. Крайний рабочий день 22.08.2025. Мной подписано соглашение на увольнение, но не подписан приказ на увольнение. С 21.07.2025 по 03.08.2025 у меня был запланированный и утверждённый в начале 2025  по графику отпуск. Но мне без моего согласия его отклонили и сказали что за неиспользованные дни отпуска мне будет выплачена компенсация. Могли ли они без моего согласия отменить отпуск и насколько это правомерно?",m,False,4
403490,"Задолжность,за кредит,с2оо7подлежит возврату,за сроком давности или нет",xs,False,3
397095,"Здравствуйте! Просьба подготовить и  подать уточненную декларацию за 2024 год, где необходимо отразить сведения о продаже объекта недвижимости по которому заявлен налоговой вычет. Что-то связанно с справкой 3ндфл.",m,False,4
375554,Можно опекуну проживающему в РФ выехать с подопечным на год в Казахстан,xs,False,4
399798,"Устная консультация по личным вопросам, по вопросу регистрации ребенка, по вопросу периода взыскания алиментов",s,False,4
394051,Почему не начисляется больничный и что грозит врачам за нарушение,xs,False,3
407728,Клиенту необходима консультация каким образов долю сестры переписать на родителей .,xs,False,3
409629,"Я арендую квартиру
В договоре указано, что я обязан платить за квартиру, воду и электроэнергию
Однако так вышло что за капитальный ремонт накопился большой долг по квитанциям (считая пени), квитанции приходили на в почтовый ящик, но я их не смотрел (при заключении договора собственник устно проговорил, что их можно не смотреть и выкидывать)
Есть ли здесь моя ответственность? Обязан ли я как-то компенсировать долг за кап ремонт?",m,False,4
375760,"В химчистке испортили вещи, на мою претензию дали ответ и ссылаются на ГОСТ Р 51108 - 2016 п.4.2 приложение А п.2, и отрицают свою вину в том, что вещи окрашены с пятнами + окрасились бирки и лейблы вещей",m,False,4
384945,"Добрый день. Мне необходимо составление налоговой декларации для получения имущественного налогового вычета за 2023г.
Ранее уже получала вычет за 2018 год - 118235 руб
и за 2019 год - 83372 руб",s,False,4
403178,"В 2023 году организация оформила 2 кредита приблизительно на 3,5 млн руб. В настоящее время организация возвращает кредиты банку. 
30 июня 2025 года ИФНС доначислила организации налог по УСН. при этом в качестве налоговой базы фискальный орган использовал ранее полученной организацией кредит. Правомерны ли действия ИФНС? (клиент запросил письменную консультацию).",m,False,5
395686,"Здравствуйте! Мне опять отказали в едином пособии на детей, в связи с тем, что у мен был вклад 400тыс, это законно? Хотя этот доход я получила до рассветного периода. Я понимаю, что проценты по вкладу они считают в доход. А нормальный доход без вклада на человека оставляет всего 14тыс. И да эти 400тыс я отдала в феврале 2025 года за ипотеку. Может быть есть какие-то лазейки в законодательстве? Или смириться с этой несправедливостью",m,False,4
389432,"Являюсь собственником КВ, жена является созаемщиком по ипотеке, КВ приобретена в период брака. Имеет ли жена право Сдавать КВ в аренду (найм).",s,False,4
402188,"Здравствуйте! Напишите, пожалуйста, что такое блокировка счетов по требованию налоговой - все ли счета блокируют (дебетовые карты, кредитные), как пополнить налоговый счет в таком случае (с чужой карты?)",m,False,4
390150,Прошу вас составить. Заявление об отмене судебного приказа тагжэ составить до судебную претензию в адрес кридитора,s,False,4
400865,"Добрый день.
Хотел получить консультацию по вопросу наследства.
В наследство я получил фирму, еа балансе которого было коммерческое помещение. Я вступил в наследство, ликвидировпл фирму и переаел имущество на себя как на физ. Лицо. Оценочная стоимость 5 млн. Рублей. Я планирую продать комменческое помещение, риэлтор оценивает стоимость в 7 млн. При этом 3 года во владении не прошло. Подскажите:
1. Я должен заплатить налог 13% с 5 млн руб?
2. И если продам имущество, то заплачу налог 13% с разницы (7-5) млн?",l,False,4
397870,"Добрый день! Подскажите пожалуйста, что мне делать дальше. Было судебное дело № *** https://basmanny.mos-gorsud.ru/rs/horoshevskij/services/cases/***по взысканию неустойки за просрочку по ДДУ. Какие дальнейшие мои действия, чтобы получить неустойку?",m,False,4
410910,"Добрый день. Проблема по КАСКО, компания затягивает сроки ремонта и манипулирует ценой, предлагает б/у запчасти",s,False,4
405298,"Есть договор, там ошибка. По договору была оплата, оплату заблокировали по 115 ФЗ. Если повторить платеж, пройдёт ли он?",s,False,4
374287,"Скажите пожалуйста, при получении внж нужно указать доход, такой вопрос будет ли считаться вузовская стипендия как источником дохода и может ли она складываться с зарплатой с работы?",s,False,4
381245,Органы правоохранительи Задержали на проверку регистрацию по базе . как они долго может задержать?,s,False,3
394739,"Добрый день! Хочу получить налоговый вычет за использование программы ""Семейный актив"" в 2023 и 2024 гг. Спасибо.",s,False,3
378719,Нужно подать налоговую декларацию на инвестиционный вычет. Также проверить на возможность зачесть убытки,s,False,4
382969,Есть ВНЖ. Насколько могу уехать на Родину в Азербайджан,xs,False,3
380699,"Добрый день! У нас есть ипотека на квартиру в Новосибирске, при погашкнии которой мы использовали материнский капитал.
Мы планируем погасить остаток и закрыть кредит.
1. Каким образом нужно выделить долю несовервершеннолетним детям? Какие документы собрать? Куда обратиться? Какова минимальная доля?",m,False,5
391291,Здравствуйте. Я вхожу в состав учредителей ООО. Генеральный директор находится в Германии. По ООО не ведется никакой деятельности уже давно. Сдается нулевая отчетность. Как можно закрыть это ООО? Слышал что оно может автоматически закрыться если не сдавать нулевую отчетность.,m,False,4
387743,"Моя тётя хочет подать в суд на меня, что я жила в доме бабушки. Когда я росла, тётя там никогда не жила. Имеет ли она права требовать такое?",s,False,3
387443,Здравствуйте я гражданка Таджикистана как получить квоту для подачи документы на Р В П Нижний Новгород,s,False,4
384294,Штраф с камеры за остановку за стоп линией на красный свет,xs,False,4
408533,"Добрый день, необходимо предоставить жене полные права распоряжаться моими средствами на моих счетах физлица и на моем счете ИП, включая мои банковские вклады, сейфовые ячейки, приобретенные паи в пиф-ах. При этом чтобы жена могла всем пользоваться в случае моей смерти, до вступления в наследство. Можно ли так сделать и как? Спасибо!",m,False,5
